IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,38010,13.89.179.13,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1205,8942,7,8,2026-05-01T02:41:56.757-04:00,2026-05-01T02:41:57.137-04:00
17,10.215.173.1,41182,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,201,1,1,2026-05-01T02:42:03.678-04:00,2026-05-01T02:42:03.744-04:00
6,10.215.173.1,57806,104.208.16.91,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1205,8942,7,8,2026-05-01T02:42:03.763-04:00,2026-05-01T02:42:04.149-04:00
17,10.215.173.1,5806,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,198,1,1,2026-05-01T02:42:09.560-04:00,2026-05-01T02:42:09.615-04:00
6,10.215.173.1,48332,52.168.117.175,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1285,9062,9,11,2026-05-01T02:42:09.621-04:00,2026-05-01T02:42:09.848-04:00
17,10.215.173.1,3955,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,248,1,1,2026-05-01T02:42:15.427-04:00,2026-05-01T02:42:15.489-04:00
17,10.215.173.1,37852,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,199,1,1,2026-05-01T02:42:15.433-04:00,2026-05-01T02:42:15.490-04:00
6,10.215.173.1,47502,51.105.71.137,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1245,9022,8,10,2026-05-01T02:42:15.497-04:00,2026-05-01T02:42:16.027-04:00
6,10.215.173.1,58908,51.105.71.137,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1245,9022,8,10,2026-05-01T02:42:21.669-04:00,2026-05-01T02:42:22.198-04:00
17,10.215.173.1,13925,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,198,1,1,2026-05-01T02:42:28.608-04:00,2026-05-01T02:42:28.665-04:00
6,10.215.173.1,33248,20.42.65.85,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1205,8942,7,8,2026-05-01T02:42:28.670-04:00,2026-05-01T02:42:28.895-04:00
17,10.215.173.1,24120,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,520,1,1,2026-05-01T02:42:30.185-04:00,2026-05-01T02:42:30.246-04:00
17,10.215.173.1,40375,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,dc.services.visualstudio.com,74,492,1,1,2026-05-01T02:42:30.190-04:00,2026-05-01T02:42:30.255-04:00
6,10.215.173.1,52128,52.188.247.150,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,dc.services.visualstudio.com,1281,8979,9,11,2026-05-01T02:42:30.261-04:00,2026-05-01T02:42:30.475-04:00
6,10.215.173.1,39052,20.42.65.85,443,10490,Microsoft Defender,com.microsoft.scmx,HTTPS,Closed,mobile.events.data.microsoft.com,1245,9022,8,10,2026-05-01T02:42:36.297-04:00,2026-05-01T02:42:36.567-04:00
17,10.215.173.1,37810,10.215.173.2,53,10490,Microsoft Defender,com.microsoft.scmx,DNS,Closed,mobile.events.data.microsoft.com,78,198,1,1,2026-05-01T02:42:43.978-04:00,2026-05-01T02:42:44.035-04:00
